MPG,Cylinders,Horsepowers,Origin Country
18,8,130,US
15,8,165,US
18,8,150,US
16,8,150,US
17,8,140,US
15,8,198,US
14,8,220,US
14,8,215,US
14,8,225,US
15,8,190,US
0,4,115,Europe
0,8,165,US
0,8,153,US
0,8,175,US
0,8,175,US
15,8,170,US
14,8,160,US
0,8,140,US
15,8,150,US
14,8,225,US
24,4,95,Japan
22,6,95,US
18,6,97,US
21,6,85,US
27,4,88,Japan
26,4,46,Europe
25,4,87,Europe
24,4,90,Europe
25,4,95,Europe
26,4,113,Europe
21,6,90,US
10,8,215,US
10,8,200,US
11,8,210,US
9,8,193,US
27,4,88,Japan
28,4,90,US
25,4,95,Japan
25,4,0,US
0,4,48,Europe
19,6,100,US
16,6,105,US
17,6,100,US
19,6,88,US
18,6,100,US
14,8,165,US
14,8,175,US
14,8,153,US
14,8,150,US
12,8,180,US
13,8,170,US
13,8,175,US
18,6,110,US
22,4,72,US
19,6,100,US
18,6,88,US
23,4,86,US
28,4,90,Europe
30,4,70,Europe
30,4,76,Europe
31,4,65,Japan
35,4,69,Japan
27,4,60,Europe
26,4,70,US
24,4,95,Japan
25,4,80,US
23,4,54,Europe
20,4,90,US
21,4,86,US
13,8,165,US
14,8,175,US
15,8,150,US
14,8,153,US
17,8,150,US
11,8,208,US
13,8,155,US
12,8,160,US
13,8,190,US
19,3,97,Japan
15,8,150,US
13,8,130,US
13,8,140,US
14,8,150,US
18,4,112,Europe
22,4,76,Europe
21,4,87,Europe
26,4,69,Europe
22,4,86,US
28,4,92,Japan
23,4,97,Japan
28,4,80,US
27,4,88,Japan
13,8,175,US
14,8,150,US
13,8,145,US
14,8,137,US
15,8,150,US
12,8,198,US
13,8,150,US
13,8,158,US
14,8,150,US
13,8,215,US
12,8,225,US
13,8,175,US
18,6,105,US
16,6,100,US
18,6,100,US
18,6,88,US
23,6,95,US
26,4,46,Europe
11,8,150,US
12,8,167,US
13,8,170,US
12,8,180,US
18,6,100,US
20,4,88,Japan
21,4,72,US
22,4,94,Japan
18,3,90,Japan
19,4,85,US
21,6,107,US
26,4,90,Europe
15,8,145,US
16,8,230,US
29,4,49,Europe
24,4,75,Europe
20,4,91,Europe
19,4,112,Europe
15,8,150,US
24,4,110,Europe
20,6,122,Japan
11,8,180,US
20,6,95,US
21,6,0,US
19,6,100,US
15,6,100,US
31,4,67,Japan
26,4,80,US
32,4,65,Japan
25,4,75,US
16,6,100,US
16,6,110,US
18,6,105,US
16,8,140,US
13,8,150,US
14,8,150,US
14,8,140,US
14,8,150,US
29,4,83,Europe
26,4,67,Europe
26,4,78,Europe
31,4,52,Japan
32,4,61,Japan
28,4,75,US
24,4,75,Europe
26,4,75,Europe
24,4,97,Japan
26,4,93,Japan
31,4,67,Europe
19,6,95,US
18,6,105,US
15,6,72,US
15,6,72,US
16,8,170,US
15,8,145,US
16,8,150,US
14,8,148,US
17,6,110,US
16,6,105,US
15,6,110,US
18,6,95,US
21,6,110,US
20,8,110,US
13,8,129,US
29,4,75,Japan
23,4,83,US
20,6,100,US
23,4,78,US
24,4,96,Japan
25,4,71,Europe
24,4,97,Japan
18,6,97,US
29,4,70,Europe
19,6,90,US
23,4,95,Europe
23,4,88,Europe
22,4,98,Europe
25,4,115,Europe
33,4,53,Japan
28,4,86,Europe
25,4,81,Europe
25,4,92,US
26,4,79,US
27,4,83,Europe
17.5,8,140,US
16,8,150,US
15.5,8,120,US
14.5,8,152,US
22,6,100,US
22,6,105,US
24,6,81,US
22.5,6,90,US
29,4,52,US
24.5,4,60,US
29,4,70,Europe
33,4,53,Japan
20,6,100,US
18,6,78,US
18.5,6,110,US
17.5,6,95,US
29.5,4,71,Europe
32,4,70,Japan
28,4,75,Japan
26.5,4,72,US
20,4,102,Europe
13,8,150,US
19,4,88,Europe
19,6,108,Japan
16.5,6,120,Europe
16.5,8,180,US
13,8,145,US
13,8,130,US
13,8,150,US
31.5,4,68,Japan
30,4,80,US
36,4,58,Europe
25.5,4,96,US
